,time,open,high,low,close,vwap,volume,count
439,2020-08-27 06:00:00,72.057,72.289,72.012,72.107,72.076,38.6283079,15.0
440,2020-08-27 07:00:00,72.24,72.321,71.754,71.754,72.079,54.58802463,21.0
441,2020-08-27 08:00:00,71.754,72.349,71.682,71.743,71.819,219.83909621,34.0
442,2020-08-27 09:00:00,71.743,72.599,71.502,72.599,71.962,191.7876517,38.0
443,2020-08-27 10:00:00,72.599,72.599,71.933,71.987,72.147,93.46864335,33.0
444,2020-08-27 11:00:00,71.91,72.478,71.91,72.478,72.287,18.69960248,11.0
445,2020-08-27 12:00:00,72.478,72.478,71.91,71.91,72.275,26.84991406,17.0
446,2020-08-27 13:00:00,71.91,71.958,71.294,71.294,71.59,316.4142795,52.0
447,2020-08-27 14:00:00,71.154,71.583,71.056,71.313,71.23,67.49427016,20.0
448,2020-08-27 15:00:00,71.313,72.7,71.313,72.062,72.169,112.181115,32.0
449,2020-08-27 16:00:00,72.062,72.062,70.868,70.868,71.092,83.27484894,29.0
450,2020-08-27 17:00:00,71.13,71.329,71.085,71.205,71.238,51.51581533,21.0
451,2020-08-27 18:00:00,71.205,71.639,70.447,71.07,70.91,221.6988157,58.0
452,2020-08-27 19:00:00,71.07,71.07,69.392,69.823,69.938,207.58343932,99.0
453,2020-08-27 20:00:00,69.813,70.231,69.547,70.231,70.023,61.37771699,24.0
454,2020-08-27 21:00:00,70.231,70.597,69.9,70.06,70.059,572.71878187,60.0
455,2020-08-27 22:00:00,70.0,70.498,69.816,69.816,70.245,105.29901502,25.0
456,2020-08-27 23:00:00,69.816,70.408,69.816,70.407,70.395,15.14641441,8.0
457,2020-08-28 00:00:00,70.407,70.559,70.015,70.146,70.208,8.52508579,11.0
458,2020-08-28 01:00:00,70.146,70.998,70.01,70.755,70.616,16.21273478,14.0
459,2020-08-28 02:00:00,70.775,70.775,69.924,70.43,70.206,8.27581744,6.0
460,2020-08-28 03:00:00,70.43,71.138,70.43,70.874,70.874,14.8605714,8.0
461,2020-08-28 04:00:00,70.874,71.554,70.874,71.055,71.338,19.22053251,8.0
462,2020-08-28 05:00:00,71.055,71.594,71.055,71.484,71.424,124.71552607,20.0
463,2020-08-28 06:00:00,71.484,71.484,71.281,71.34,71.291,29.8,7.0
464,2020-08-28 07:00:00,71.34,71.34,71.123,71.266,71.235,10.73869512,2.0
465,2020-08-28 08:00:00,71.266,71.828,71.266,71.76,71.727,34.04993499,13.0
466,2020-08-28 09:00:00,71.76,71.76,71.071,71.071,71.178,56.30320128,10.0
467,2020-08-28 10:00:00,71.071,71.257,70.974,70.974,71.109,54.53297073,22.0
468,2020-08-28 11:00:00,70.974,71.62,70.9,71.523,71.085,133.57582097,24.0
469,2020-08-28 12:00:00,71.594,72.032,71.471,71.891,71.809,123.6807501,33.0
470,2020-08-28 13:00:00,71.891,71.947,71.641,71.947,71.843,2.95683848,9.0
471,2020-08-28 14:00:00,71.947,71.947,71.63,71.645,71.644,5.06255563,15.0
472,2020-08-28 15:00:00,71.645,71.645,71.36,71.36,71.492,9.45408792,7.0
473,2020-08-28 16:00:00,71.36,71.711,71.294,71.329,71.577,44.65848105,14.0
474,2020-08-28 17:00:00,71.329,72.315,71.329,72.314,72.042,209.98180954,32.0
475,2020-08-28 18:00:00,72.098,72.161,71.739,71.85,72.012,117.74590577,47.0
